Classe1,243,414,255,314,326,252,404,315,418,418,319,404,283,522,280,599,370,516,366,602
Classe1,236,418,255,321,319,252,399,320,417,422,327,413,273,532,273,601,367,535,355,610
Classe1,234,414,247,317,312,252,397,325,416,418,325,402,260,527,273,602,365,526,359,601
Classe1,231,430,224,328,305,258,409,315,406,423,318,423,264,551,258,622,368,555,374,626
Classe1,239,432,224,319,319,250,416,315,418,419,327,427,270,552,269,622,385,547,380,618
Classe2,236,433,266,352,331,306,392,351,415,434,326,396,262,423,350,465,346,493,335,561
Classe2,258,343,252,313,328,267,402,302,396,345,331,341,287,376,387,382,373,423,343,469
Classe2,265,341,265,309,336,253,405,296,394,338,338,340,296,368,402,380,371,423,345,469
Classe2,284,371,287,321,342,281,402,325,399,364,337,352,304,360,373,390,369,417,368,454
Classe2,285,363,285,322,335,277,402,311,406,364,307,362,374,382,369,407,364,447,339,348
Classe3,301,353,271,312,343,260,410,308,406,358,350,346,288,411,313,455,407,418,373,457
Classe3,279,353,269,306,336,257,398,300,408,361,347,347,292,405,309,466,406,417,375,461
