Classe1,244,408,256,315,326,254,404,314,417,409,327,404,280,526,279,597,370,522,360,598,
Classe1,239,416,251,321,323,259,397,322,412,417,326,413,270,534,275,603,362,531,360,606,
Classe1,238,410,246,320,319,255,399,322,417,414,324,414,272,526,274,596,358,528,355,602,
Classe1,233,427,221,320,311,256,398,313,405,415,320,421,266,554,259,621,361,554,365,618,
Classe1,242,422,232,324,318,257,416,315,421,411,282,553,274,611,383,553,381,615,
Classe2,244,429,268,356,333,310,396,360,412,427,331,398,265,421,359,467,346,485,333,556,
Classe2,258,343,262,308,321,256,393,301,392,353,326,341,288,372,387,376,365,423,342,471,
Classe2,268,337,275,304,338,256,404,294,401,349,340,332,287,360,392,376,368,418,342,463,
Classe2,283,362,285,319,342,284,401,316,399,374,349,351,305,356,373,389,367,412,368,465,
Classe2,291,361,290,318,337,280,401,313,400,363,345,346,317,361,387,393,365,416,362,456,
Classe3,287,359,274,309,342,259,408,298,416,352,337,343,286,409,322,462,411,418,378,465,
Classe3,285,357,267,307,331,263,401,301,403,351,340,346,285,412,308,453,403,412,363,456,
